Feature Set,MSE,R2 Score
L a S R Day Temp,36.28970791,0.860655465
L b H S V B Day Temp,36.28121548,0.860688074
L a b H R Day Temp,36.27532404,0.860710696
L a b H Day Temp,36.26412372,0.860753703
a V B Temp,36.25561551,0.860786372
b H S V R G B Temp,36.2529604,0.860796567
L a H S G B Temp,36.23639684,0.860860168
L a H S V R Day Temp,36.20766556,0.86097049
L a b H G B Day Temp,36.18532114,0.861056287
L H S B Day Temp,36.15407602,0.861176262
a S B Day Temp,36.13369747,0.861254511
L a B Temp,36.11818233,0.861314086
L a V G B Temp,36.09271164,0.861411888
S G B Day Temp,36.08766662,0.861431259
L H S V G Day Temp,36.08690636,0.861434179
a b H V R G Day Temp,36.07935578,0.861463171
S R B Temp,36.06409937,0.861521752
a S V R B Day Temp,36.05718028,0.86154832
S Temp,36.05006892,0.861575626
S V R B Temp,36.02921421,0.861655704
L a H S G Day Temp,36.02416894,0.861675076
L a b S R B Day Temp,36.015164,0.861709653
b H S V G Day Temp,36.0083004,0.861736008
L b S R G Day Temp,36.00592158,0.861745142
L a b S G Day Temp,35.99900989,0.861771682
L a S V R G B Day Temp,35.9632277,0.861909077
L b H V R G Temp,35.96212224,0.861913322
b H S R G Day Temp,35.94665967,0.861972695
L H S R Day Temp,35.94632144,0.861973994
b H V R B Temp,35.93694767,0.862009987
L H S R G B Temp,35.93457786,0.862019087
L b S G Day Temp,35.93123581,0.862031919
a V R G B Temp,35.93037837,0.862035212
b H B Temp,35.89180437,0.862183327
L b S R B Temp,35.87463346,0.86224926
L a H S V G B Day Temp,35.87195911,0.862259529
L b S V R Day Temp,35.86847347,0.862272913
L a b H S V Day Temp,35.86542971,0.8622846
a H G B Temp,35.77628075,0.862626913
a b S V G B Day Temp,35.76539027,0.86266873
L a H B Temp,35.76100416,0.862685572
b S V R Day Temp,35.75573849,0.862705791
a H S R B Day Temp,35.74627896,0.862742113
a R B Temp,35.7192899,0.862845745
L a S V G B Day Temp,35.70748289,0.862891082
a b S V R B Day Temp,35.70666413,0.862894225
L b H S R G B Temp,35.67968037,0.862997837
L b H S V G Day Temp,35.66603433,0.863050235
L b H S V R Day Temp,35.65229156,0.863103004
L a b H S R G B Day Temp,35.62581823,0.863204656
b H G B Temp,35.62289921,0.863215864
b H V G Temp,35.59139374,0.863336839
b G Day Temp,35.58989273,0.863342602
b H R Day Temp,35.58104634,0.86337657
b H B Day Temp,35.57775843,0.863389195
L a H V R G B Temp,35.5570051,0.863468883
H S V R B Temp,35.53982053,0.863534868
b H S R B Day Temp,35.52558313,0.863589537
a S V Day Temp,35.5249337,0.863592031
a b H Day Temp,35.48578933,0.863742336
a b V G B Temp,35.45541853,0.863858954
a R G B Temp,35.45371703,0.863865487
a H R G B Temp,35.43762005,0.863927296
L H S V B Temp,35.43373986,0.863942195
L a V B Temp,35.43145476,0.863950969
b R Day Temp,35.41353976,0.864019759
L b H V R B Temp,35.41138667,0.864028026
b S V G Temp,35.38371679,0.864134273
L a S V R G Day Temp,35.37252654,0.864177241
L S V G Temp,35.364281,0.864208902
L a b V R G Temp,35.35109863,0.864259519
L a b H B Temp,35.34382701,0.864287441
L a S V Day Temp,35.33470617,0.864322463
H S V G B Temp,35.33402377,0.864325083
a b S R Day Temp,35.32348462,0.864365551
b H S R G B Temp,35.31663975,0.864391834
L a b H S G Day Temp,35.30592207,0.864432987
a b S V G Day Temp,35.2714441,0.864565375
S R G Day Temp,35.23038292,0.864723041
L a b H S V R Day Temp,35.21062286,0.864798915
a H S V R G B Day Temp,35.18865178,0.864883279
a b H R G B Temp,35.18694652,0.864889827
b V Day Temp,35.18173643,0.864909833
L a b H S V R B Day Temp,35.16939242,0.864957231
S V Temp,35.16131822,0.864988234
L a b H B Day Temp,35.1524218,0.865022395
a b H V B Temp,35.14375902,0.865055658
H S R B Temp,35.14017569,0.865069417
L H S B Temp,35.13694905,0.865081807
b H V B Temp,35.13545707,0.865087535
L S B Temp,35.13409102,0.865092781
L a R B Temp,35.13062141,0.865106103
L a H R G B Temp,35.1276819,0.86511739
L a b H S R Day Temp,35.06789296,0.865346967
a b S V R Day Temp,35.03671058,0.8654667
L a b B Temp,34.97745946,0.865694212
S G B Temp,34.9502318,0.86579876
L a b H S V G B Day Temp,34.93978319,0.86583888
L b H V Temp,34.93887225,0.865842378
L a b V R G B Temp,34.92731759,0.865886746
H S R G Day Temp,34.92703543,0.865887829
S V G Temp,34.92630965,0.865890616
a b H S V Day Temp,34.92322953,0.865902443
L a b H S V R G Day Temp,34.91956102,0.865916529
a H S B Temp,34.91878054,0.865919526
L H S G Temp,34.89166105,0.866023659
L a b S V G Day Temp,34.85599222,0.866160619
L a b H V R G Temp,34.84516365,0.866202199
H S R B Day Temp,34.84440075,0.866205128
L H S V G Temp,34.84164381,0.866215714
L H S V R G Temp,34.84101601,0.866218125
L S V Temp,34.83047407,0.866258603
b S R G Temp,34.81417763,0.866321178
a b H S G B Temp,34.81024825,0.866336266
L b S R Temp,34.79508649,0.866394484
b S R G B Temp,34.7809144,0.866448902
a b H V G B Temp,34.74644738,0.866581248
H S V R G B Temp,34.72032391,0.866681556
H S R G B Temp,34.71561366,0.866699642
b H G Temp,34.69932397,0.866762191
L a H R B Temp,34.69224831,0.86678936
a H V R G B Temp,34.69224544,0.866789371
L H S V R G B Temp,34.68244528,0.866827002
a b V R G B Temp,34.66887758,0.866879099
L S V Day Temp,34.66389894,0.866898216
a b R G Temp,34.64051518,0.866988004
b H R G Temp,34.60663355,0.867118102
a b H R Day Temp,34.6028356,0.867132685
a b H V R B Temp,34.59691087,0.867155435
b Temp,34.52968819,0.867413555
a b V R Temp,34.50856954,0.867494646
a S R G B Day Temp,34.50164091,0.867521251
a b H S V R B Day Temp,34.48354596,0.867590731
a H S G Day Temp,34.47594391,0.867619922
b S V B Temp,34.4325352,0.867786602
b H S V G B Temp,34.42702978,0.867807741
a S V R G Day Temp,34.41330182,0.867860454
a b H V R G B Temp,34.40821573,0.867879983
a b B Temp,34.40080302,0.867908446
a b S G Day Temp,34.36899062,0.868030599
L a b S R Day Temp,34.36687972,0.868038704
a b H S V R Day Temp,34.34091835,0.86813839
L a b R B Temp,34.32709478,0.86819147
L a b H S R G B Temp,34.32034191,0.868217399
L a b H S Day Temp,34.31842673,0.868224753
S B Day Temp,34.31707476,0.868229944
L b H S V R G B Temp,34.30462362,0.868277754
H S V R Temp,34.29586872,0.868311371
L a S G B Temp,34.28894204,0.868337968
L a b H S G B Temp,34.2835696,0.868358597
L b Day Temp,34.2416865,0.868519419
L H S V R B Temp,34.23845208,0.868531838
a b S B Day Temp,34.22430312,0.868586167
L b H S G B Temp,34.21641065,0.868616473
L S R G B Temp,34.20837127,0.868647342
L a b H R G B Temp,34.19826454,0.86868615
L a H S R G B Temp,34.1860287,0.868733133
L a b S V R G B Day Temp,34.18512609,0.868736598
L S R Day Temp,34.18049773,0.86875437
L b S V Day Temp,34.17563621,0.868773038
L a b G B Temp,34.16826953,0.868801324
L a b S V R Day Temp,34.16664198,0.868807573
S G Temp,34.16525065,0.868812916
L a b S Day Temp,34.16437311,0.868816285
L S R B Temp,34.14725568,0.868882013
L S G B Temp,34.1393931,0.868912203
b S V G Day Temp,34.12892678,0.868952392
b H S B Day Temp,34.09454481,0.869084411
b H S R B Temp,34.09360867,0.869088005
b S R G Day Temp,34.0929443,0.869090556
b S B Day Temp,34.08216112,0.869131961
L H S R Temp,34.07573899,0.869156621
b H S V R Day Temp,34.06947473,0.869180674
b H S V B Day Temp,34.06370486,0.869202829
L a H S Day Temp,34.06313679,0.869205011
L S V R G Temp,34.06232884,0.869208113
S V B Temp,34.05488381,0.8692367
a b G B Temp,34.03721345,0.869304551
a b R Temp,34.03189408,0.869324976
L H S V R Temp,34.03071106,0.869329518
b H V Temp,34.0299535,0.869332427
L a H S V R B Temp,34.0283999,0.869338393
a S Temp,34.02662422,0.869345211
a b H G B Temp,34.01886804,0.869374993
a b S R B Day Temp,34.01122534,0.869404339
L a b H V G B Day Temp,33.9978047,0.869455872
a H S V Day Temp,33.99633553,0.869461513
a H S R B Temp,33.98023873,0.869523321
L a b R G Temp,33.97099162,0.869558828
L b H S V R G Temp,33.9534579,0.869626154
a S B Temp,33.94369052,0.869663658
H S G B Temp,33.94337651,0.869664864
a b V Temp,33.93407852,0.869700566
L a H S V G B Temp,33.92126746,0.869749758
H S V G Day Temp,33.91615428,0.869769391
L H S G Day Temp,33.90281378,0.869820616
S R G Temp,33.8830081,0.869896665
a b S V Day Temp,33.87872372,0.869913116
L a H S V R G B Temp,33.87481546,0.869928123
L a b V R B Temp,33.87128106,0.869941695
S B Temp,33.86427189,0.869968608
b S G Temp,33.85227819,0.870014662
L b H S V G B Temp,33.81545738,0.870156045
L b H S R B Temp,33.80205506,0.870207507
S R Temp,33.78461956,0.870274456
a b V B Temp,33.77926088,0.870295032
S G Day Temp,33.77059359,0.870328313
a H S V B Temp,33.75682178,0.870381193
L a b H V R B Temp,33.74416999,0.870429773
a H S R Day Temp,33.7417998,0.870438874
b H Temp,33.73826732,0.870452438
L a b R Temp,33.73780128,0.870454228
a H S G B Temp,33.72291286,0.870511396
a b H S V R G B Day Temp,33.71362387,0.870547064
b H S V B Temp,33.71073456,0.870558158
b H S G B Day Temp,33.64356072,0.870816091
a b V G Temp,33.6290146,0.870871945
a b H S R Day Temp,33.60761595,0.870954111
a b H R G Temp,33.6072856,0.870955379
L H S R B Temp,33.60124335,0.87097858
L b S R Day Temp,33.59751492,0.870992897
b S V R G B Day Temp,33.56752724,0.871108043
a b H S V G Day Temp,33.56085128,0.871133677
L a b S V R B Day Temp,33.53222054,0.871243613
a S R Day Temp,33.52199364,0.871282882
L a b R G B Temp,33.5213461,0.871285368
a b H R B Temp,33.51909221,0.871294023
a b V R B Temp,33.50959817,0.871330478
S V Day Temp,33.49916856,0.871370525
L a b V G Temp,33.4936261,0.871391807
L a b H S R G Day Temp,33.43539087,0.871615418
L b S B Temp,33.43274493,0.871625577
b H V R Temp,33.4184135,0.871680607
a b H B Temp,33.41660327,0.871687558
a b H S R B Temp,33.41164239,0.871706607
a H S V R G B Temp,33.40172893,0.871744672
L b S G Temp,33.39558819,0.871768251
b H S V R B Temp,33.39248575,0.871780164
L a S V B Temp,33.39182886,0.871782686
L a b S V G B Day Temp,33.37119273,0.871861924
b H R Temp,33.36255607,0.871895087
L a b Temp,33.36112078,0.871900598
a b S G B Day Temp,33.36102552,0.871900964
b S V Temp,33.35372737,0.871928988
a b H S R G B Day Temp,33.33102331,0.872016166
L a H S R B Day Temp,33.32867452,0.872025185
L H S R G Temp,33.31088505,0.872093493
S V G B Temp,33.27956777,0.872213744
L b H R Temp,33.27948348,0.872214068
L a H S B Temp,33.25036347,0.872325882
L S V B Temp,33.24758862,0.872336537
a b V R G Temp,33.22181735,0.872435493
b S G B Temp,33.22018865,0.872441747
b H S G B Temp,33.21512081,0.872461206
L b H Temp,33.20568898,0.872497423
b H S V G Temp,33.18347143,0.872582733
L a b H V R G B Temp,33.16207703,0.872664883
L a b H S V R Temp,33.13536857,0.872767438
L H S G B Temp,33.12260149,0.87281646
b H S V Day Temp,33.11104451,0.872860837
H S V G Temp,33.0967113,0.872915873
L b H S G Day Temp,33.08246072,0.872970592
L a b V G B Temp,33.02344327,0.873197206
L a b S V Day Temp,33.0206441,0.873207954
L a b H V G B Temp,33.0126117,0.873238797
a b H S G B Day Temp,33.01153196,0.873242943
L b H S V Day Temp,32.96895861,0.873406415
L a b V R Temp,32.93429891,0.873539501
L a b V B Temp,32.93227436,0.873547275
a b H Temp,32.92563917,0.873572753
L a S V G B Temp,32.90388255,0.873656293
a b R G B Temp,32.90057443,0.873668996
b H S B Temp,32.90035284,0.873669847
L a b V Temp,32.89836927,0.873677463
L a b H V B Temp,32.89697902,0.873682801
S R G B Temp,32.8665622,0.873799595
L a b H V G Temp,32.8665113,0.873799791
L a H S V B Temp,32.86074779,0.873821921
a b H S R G B Temp,32.85047934,0.87386135
a S V R G B Temp,32.84577554,0.873879411
b Day Temp,32.84390617,0.873886589
b S R Temp,32.83391905,0.873924938
L b H S V G Temp,32.79781885,0.874063555
L S G Temp,32.79050787,0.874091627
L a b H R G Temp,32.71766735,0.874371319
L b H S V R Temp,32.71604461,0.87437755
L a b H S R B Temp,32.71150675,0.874394974
H S B Temp,32.70505428,0.87441975
L a b H V Temp,32.70097332,0.87443542
a b R B Temp,32.66920796,0.874557392
a b H V R G Temp,32.65986468,0.874593268
a H S V R B Temp,32.65891141,0.874596929
L a b H S V G B Temp,32.65196614,0.874623597
L a S Day Temp,32.64151756,0.874663717
L a b G Temp,32.60109195,0.874818943
a b G Temp,32.59997402,0.874823235
L a b H G Temp,32.56935581,0.874940803
L S R G Temp,32.53955362,0.875055237
L a b H G B Temp,32.53101203,0.875088034
S V R Temp,32.4959661,0.875222603
L b H S R Temp,32.49210708,0.875237421
b H S V R G Temp,32.48178562,0.875277053
L b H S B Temp,32.45866583,0.875365828
L S R Temp,32.44815442,0.875406189
a S R B Temp,32.41171366,0.875546114
L S Temp,32.40865537,0.875557857
a b H V G Temp,32.40091846,0.875587565
L a H S V G Temp,32.39875015,0.875595891
a b H G Temp,32.39681643,0.875603316
L a b H S V Temp,32.37621159,0.875682434
L S V R Temp,32.35602068,0.875759963
L a S R G B Temp,32.35217794,0.875774718
L a H S V R Temp,32.33958453,0.875823074
H S B Day Temp,32.33076189,0.875856951
L a b H S V R G B Temp,32.25641651,0.876142421
L a b H R B Temp,32.25030738,0.876165879
a b H S G Day Temp,32.24369349,0.876191275
L b H S V R B Temp,32.23315216,0.876231751
L b S V R G B Temp,32.20194728,0.876351571
a b H S V B Temp,32.19450499,0.876380148
a S G B Temp,32.19245777,0.876388009
L a b H Temp,32.19036157,0.876396058
L S Day Temp,32.18438679,0.876418999
L b S G B Temp,32.17756427,0.876445196
a b H V R Temp,32.15959617,0.87651419
L S V R B Temp,32.15217819,0.876542673
L a b H S G Temp,32.13845398,0.876595371
L H S V Temp,32.09518614,0.87676151
L a b S G B Temp,32.08075388,0.876816927
H S V R G Temp,32.04442287,0.87695643
a S V Temp,32.03558328,0.876990372
a H S V G B Temp,32.02597046,0.877027283
L a b H V R Temp,32.01934395,0.877052728
b S B Temp,32.0070172,0.87710006
a S V B Temp,32.00541952,0.877106195
L b H S V Temp,31.94816201,0.877326051
L a S G Temp,31.94610003,0.877333968
a b H V Temp,31.93543294,0.877374928
a b H S V R G B Temp,31.92008215,0.877433871
a H S V R Temp,31.89842343,0.877517036
S V R G B Temp,31.89792883,0.877518935
a H S V G Temp,31.8600735,0.877664292
a S V R Temp,31.85367634,0.877688855
L a S B Temp,31.84376356,0.877726918
b S Temp,31.82936242,0.877782215
a b H S B Temp,31.81710475,0.877829282
a b S B Temp,31.79701308,0.87790643
L b S V G B Temp,31.79075566,0.877930457
a H S Temp,31.78947002,0.877935393
L a H S R B Temp,31.77154008,0.87800424
a S V G B Temp,31.74955735,0.878088649
L b H S V B Temp,31.74399857,0.878109994
L b S V R G Temp,31.71726238,0.878212655
L a b H S V B Temp,31.70935398,0.878243021
a H S V R G Temp,31.6902624,0.878316329
b H S R G Temp,31.66683424,0.878406288
a S V R B Temp,31.64862977,0.878476189
b S R B Temp,31.55867888,0.878821581
L S V R G B Temp,31.52371666,0.878955828
S V R G Temp,31.52012928,0.878969603
L b H S R G Temp,31.51160534,0.879002333
L a b S V R G B Temp,31.50845191,0.879014441
H S G Day Temp,31.50425413,0.87903056
H S R G Temp,31.48898386,0.879089194
L a H S V R G Temp,31.48453445,0.879106279
L H S Temp,31.47743464,0.879133541
b S V G B Temp,31.43789673,0.879285358
L a b S V B Temp,31.43008896,0.879315338
a S R G B Temp,31.42904925,0.87931933
b H S G Day Temp,31.42421004,0.879337912
L a S V R B Temp,31.42340676,0.879340996
L a b H R Temp,31.42190317,0.87934677
L b S V Temp,31.41710968,0.879365176
H S V Temp,31.41297764,0.879381042
a S R G Temp,31.38827332,0.879475901
L a b H S V R G Temp,31.33981647,0.879661965
L b S R G Temp,31.29782557,0.8798232
L b S V G Temp,31.26169296,0.879961942
L b S R G B Temp,31.24686009,0.880018897
a b S Day Temp,31.23791887,0.880053229
L a S V R G B Temp,31.20064544,0.880196351
a H S G Temp,31.1895661,0.880238893
L S V G B Temp,31.18875137,0.880242022
L b S Day Temp,31.17698891,0.880287187
a b H S V R G Temp,31.17102411,0.88031009
L a b H S V R B Temp,31.13270949,0.88045721
L b S V R B Temp,31.1228881,0.880494922
L a S R B Temp,31.08589705,0.88063696
a b H S R G Temp,31.07079085,0.880694964
b S V R G B Temp,31.06426732,0.880720013
b S V R B Temp,31.05694424,0.880748132
L a b S R G B Temp,31.0557539,0.880752703
a S G Temp,31.04404554,0.88079766
L b H S R Day Temp,31.04392466,0.880798124
a b S R G B Temp,31.03885302,0.880817598
L a b H S B Temp,30.99743344,0.88097664
L a b H S R G Temp,30.99724045,0.880977382
a b H S V R B Temp,30.98643729,0.881018863
b S V R G Temp,30.97303396,0.881070329
a S R Temp,30.96237554,0.881111255
a H S Day Temp,30.95893856,0.881124452
L a b S V R B Temp,30.95745696,0.881130141
L a b H S R Temp,30.94910767,0.881162201
b S R Day Temp,30.93559583,0.881214083
H S R Day Temp,30.93242476,0.88122626
b H S V R Temp,30.93038829,0.881234079
b S V Day Temp,30.89504105,0.881369805
L a b H S V G Temp,30.87875956,0.881432322
S R Day Temp,30.84041776,0.881579546
H S Temp,30.8305161,0.881617567
b S G Day Temp,30.79170887,0.881766578
H S G Temp,30.77818749,0.881818497
L a H S Temp,30.7670479,0.881861271
a b S V Temp,30.71741256,0.882051859
a b S G B Temp,30.71196385,0.882072781
a S V R G Temp,30.71126888,0.88207545
L a S V Temp,30.69992503,0.882119008
a b S G Temp,30.69591982,0.882134387
L a S Temp,30.69370323,0.882142898
a H S R G Temp,30.68750073,0.882166714
b S V R Temp,30.66222791,0.882263756
L a H S R G Temp,30.65226006,0.882302031
L a S V R Temp,30.6103018,0.882463141
a b S V R B Temp,30.60500278,0.882483488
L b H S G Temp,30.58637349,0.882555021
L a H S G Temp,30.56995605,0.88261806
a b H S V R Temp,30.56095627,0.882652617
b H S R Day Temp,30.56012502,0.882655809
L a S V G Temp,30.53749345,0.882742709
a S Day Temp,30.48661698,0.882938064
L a b S R B Temp,30.48551133,0.882942309
a b S V R G B Temp,30.4587714,0.883044985
a b S V R G Temp,30.45493393,0.88305972
L a S V R G Temp,30.44249868,0.883107469
H S Day Temp,30.42855438,0.883161012
a H S R G B Temp,30.4283521,0.883161788
a b S V G B Temp,30.42338948,0.883180844
L b H S Day Temp,30.39584718,0.8832866
L a H S R Temp,30.39265017,0.883298876
L a b S R G Temp,30.37857048,0.883352939
L a b S R Temp,30.37609999,0.883362425
L b S Temp,30.35134668,0.883457472
L a b S B Temp,30.34701913,0.883474089
L a b S V G B Temp,30.34451031,0.883483722
S Day Temp,30.33751932,0.883510566
a b H R Temp,30.32758938,0.883548695
a b H S Day Temp,30.28261336,0.883721393
a b H S V Temp,30.2718259,0.883762815
L H S Day Temp,30.2346062,0.88390573
a b H S V G B Temp,30.21124442,0.883995434
H S V Day Temp,30.2063052,0.8840144
L a S R Temp,30.17024512,0.884152863
a b S R B Temp,30.1129874,0.88437272
H S R Temp,30.09990812,0.884422941
a b S V G Temp,30.08479751,0.884480963
b H S V Temp,30.02260553,0.884719766
a b S R G Temp,29.9908487,0.884841706
b H S G Temp,29.95552554,0.884977339
L b S V B Temp,29.90910217,0.885155594
L b S V R Temp,29.87369644,0.885291545
L a S R G Temp,29.83475817,0.885441059
a b S V B Temp,29.82844676,0.885465293
a b H S G Temp,29.76351884,0.885714602
L a b S V G Temp,29.71710956,0.885892804
L a b S G Temp,29.71153722,0.885914201
L b H S Temp,29.67613088,0.886050153
a b S Temp,29.62808142,0.886234653
L a b S V Temp,29.58969901,0.886382033
L a b H S Temp,29.57164566,0.886451353
L a H S V Temp,29.54971092,0.886535578
a H S V Temp,29.51553525,0.886666805
a b S V R Temp,29.50002342,0.886726367
a H S R Temp,29.47942192,0.886805472
a S V G Temp,29.44444885,0.886939761
L a b S V R G Temp,29.39695295,0.887122135
a b H S R Temp,29.24155225,0.88771884
a b S R Temp,29.17627738,0.887969481
L a b S Temp,29.16391015,0.888016969
b S Day Temp,29.10932205,0.888226575
a b H S V G Temp,28.79514117,0.889432961
L a b S V R Temp,28.64902796,0.889994003
b H S R Temp,28.39930093,0.890952901
b H S Day Temp,27.76157891,0.893401614
a b H S Temp,27.42775907,0.894683409
b H S Temp,26.94283461,0.896545413
