,MSE,R2 Score
Simple Linear Regression_L,109.98735088994265,0.5776726472876013
Multiple Linear Regression_L,109.98735088994265,0.5776726472876013
Polynomial Regression_L,102.82021223655144,0.6051928909294197
Ridge Regression_L,109.9825632911753,0.5776910306189289
Lasso Regression_L,110.32881697761012,0.5763614922531468
Elastic Net Regression_L,110.41035931295085,0.5760483875339242
Robust Regression_L,119.13526331082642,0.5425466659425047
Quantile Regression_L,157.95521948615283,0.393486531379012
Logistic Regression_L,15334.8275,-57.882381019038554
Simple Linear Regression_La,94.6773341834216,0.636459760290419
Multiple Linear Regression_La,94.6773341834216,0.636459760290419
Polynomial Regression_La,110.09725565502308,0.5772506370463205
Ridge Regression_La,93.136494216614,0.6423762484944715
Lasso Regression_La,92.50366355541783,0.6448061797156137
Elastic Net Regression_La,92.79043235638257,0.6437050502896207
Robust Regression_La,92.60314905727132,0.6444241771644923
Quantile Regression_La,160.00615829161973,0.3856113752880659
Logistic Regression_La,15337.695147058825,-57.89339215605629
Simple Linear Regression_L/a,125.16993352804465,0.5193748532139633
Multiple Linear Regression_L/a,125.16993352804465,0.5193748532139633
Polynomial Regression_L/a,152.932170276064,0.4127739408699783
Ridge Regression_L/a,125.29731057194525,0.5188857532464524
Lasso Regression_L/a,125.62004970059557,0.5176465056355523
Elastic Net Regression_L/a,127.14858026550216,0.5117772828404425
Robust Regression_L/a,127.71389872067341,0.5096065837129506
Quantile Regression_L/a,172.34852860909325,0.3382193748425736
Logistic Regression_L/a,15359.621617647057,-57.97758500371493
Simple Linear Regression_Lb,98.0582268319946,0.623477872550388
Multiple Linear Regression_Lb,98.0582268319946,0.623477872550388
Polynomial Regression_Lb,86.19550159332098,0.6690281408809411
Ridge Regression_Lb,92.5639146146742,0.6445748288361902
Lasso Regression_Lb,91.85808682942046,0.6472850530356561
Elastic Net Regression_Lb,91.94031482616623,0.6469693155267198
Robust Regression_Lb,101.66510716410633,0.6096282415711364
Quantile Regression_Lb,157.95521948615283,0.393486531379012
Logistic Regression_Lb,15337.289264705883,-57.89183365666301
Simple Linear Regression_L/b,102.71726484873639,0.6055881863648749
Multiple Linear Regression_L/b,102.71726484873639,0.6055881863648749
Polynomial Regression_L/b,123.7670485994311,0.524761624267794
Ridge Regression_L/b,102.80546378309343,0.6052495217624667
Lasso Regression_L/b,103.20001361538057,0.6037345367679678
Elastic Net Regression_L/b,104.28749980862865,0.5995588278215336
Robust Regression_L/b,104.44977238469393,0.5989357366486582
Quantile Regression_L/b,151.17572730583865,0.41951829741464897
Logistic Regression_L/b,15340.748088235294,-57.905114781927466
Simple Linear Regression_LH,119.8743347683635,0.5397087933180493
Multiple Linear Regression_LH,119.8743347683635,0.5397087933180493
Polynomial Regression_LH,110.28205662985434,0.5765410417533376
Ridge Regression_LH,118.0490998889194,0.5467172957365256
Lasso Regression_LH,113.75749144261323,0.5631961327968007
Elastic Net Regression_LH,111.62553172962657,0.5713823914382702
Robust Regression_LH,133.72643374194112,0.4865197652917719
Quantile Regression_LH,157.95521948615283,0.393486531379012
Logistic Regression_LH,15344.942205882353,-57.92121927565801
Simple Linear Regression_L/H,111.41811715681833,0.5721788179976819
Multiple Linear Regression_L/H,111.41811715681833,0.5721788179976819
Polynomial Regression_L/H,99.54917443980273,0.6177529600841485
Ridge Regression_L/H,111.49010450088882,0.571902402353482
Lasso Regression_L/H,111.75444004553734,0.5708874117214146
Elastic Net Regression_L/H,112.79474468054865,0.566892869631221
Robust Regression_L/H,117.10120632340373,0.5503569995473568
Quantile Regression_L/H,163.766104197457,0.37117400600963835
Logistic Regression_L/H,15338.512794117647,-57.89653174179057
Simple Linear Regression_LS,98.41409272729209,0.6221114254065523
Multiple Linear Regression_LS,98.41409272729209,0.6221114254065523
Polynomial Regression_LS,102.61136938837589,0.6059948017536123
Ridge Regression_LS,96.37046672124858,0.629958501948383
Lasso Regression_LS,94.6237420854911,0.6366655422159055
Elastic Net Regression_LS,90.45562420778643,0.6526702025231228
Robust Regression_LS,100.01259211846545,0.6159735376337834
Quantile Regression_LS,157.41529593350913,0.39555971963938985
Logistic Regression_LS,15341.08044117647,-57.90639094447414
Simple Linear Regression_L/S,87.11603606306888,0.6654934900093317
Multiple Linear Regression_L/S,87.11603606306888,0.6654934900093317
Polynomial Regression_L/S,87.74166946199838,0.6630911946999125
Ridge Regression_L/S,87.22191962812411,0.6650869202959628
Lasso Regression_L/S,87.36553458538533,0.6645354702954012
Elastic Net Regression_L/S,89.49764872896748,0.6563486186742475
Robust Regression_L/S,88.73260068954733,0.6592862356872206
Quantile Regression_L/S,158.2001872726024,0.3925459086990951
Logistic Regression_L/S,15344.268676470587,-57.91863307014308
Simple Linear Regression_LV,97.53348115629,0.6254927810855464
Multiple Linear Regression_LV,97.53348115629,0.6254927810855464
Polynomial Regression_LV,109.41456238656505,0.5798720297651155
Ridge Regression_LV,103.98885866860483,0.6007055444308232
Lasso Regression_LV,110.521491023801,0.575621666089449
Elastic Net Regression_LV,110.94264439411512,0.5740045293320718
Robust Regression_LV,98.20175466897426,0.622926757072638
Quantile Regression_LV,158.24862441793022,0.3923599206632552
Logistic Regression_LV,15334.8275,-57.882381019038554
Simple Linear Regression_L/V,199.2421675609027,0.2349536879120293
Multiple Linear Regression_L/V,199.2421675609027,0.2349536879120293
Polynomial Regression_L/V,232.50022517387512,0.1072500264055547
Ridge Regression_L/V,199.27907682471152,0.23481196441792906
Lasso Regression_L/V,199.96130241278047,0.23219236748945937
Elastic Net Regression_L/V,200.20039227484517,0.2312743147525843
Robust Regression_L/V,211.6575204938366,0.18728145019805087
Quantile Regression_L/V,267.5674450726471,-0.027400422277868985
Logistic Regression_L/V,15328.083382352941,-57.856485083467625
Simple Linear Regression_LR,100.26518249006665,0.6150036458953623
Multiple Linear Regression_LR,100.26518249006665,0.6150036458953623
Polynomial Regression_LR,120.15093184302826,0.5386467210945984
Ridge Regression_LR,101.66115309151631,0.6096434243443904
Lasso Regression_LR,108.1522772916406,0.584718928232933
Elastic Net Regression_LR,111.53508509933692,0.5717296867010702
Robust Regression_LR,99.38583754888836,0.6183801379930807
Quantile Regression_LR,157.95521948615283,0.393486531379012
Logistic Regression_LR,15334.8275,-57.882381019038554
Simple Linear Regression_L/R,118.61096586130918,0.544559853387214
Multiple Linear Regression_L/R,118.61096586130918,0.544559853387214
Polynomial Regression_L/R,122.93839898662824,0.5279434574010547
Ridge Regression_L/R,119.14736518758963,0.5425001973846668
Lasso Regression_L/R,120.22985576514125,0.538343670509036
Elastic Net Regression_L/R,126.84768553215957,0.5129326527547959
Robust Regression_L/R,121.3007831729332,0.5342315436742648
Quantile Regression_L/R,209.89653943303097,0.19404323201722484
Logistic Regression_L/R,15347.198088235295,-57.929881370111964
Simple Linear Regression_LG,95.82345170241223,0.632058919886717
Multiple Linear Regression_LG,95.82345170241223,0.632058919886717
Polynomial Regression_LG,108.43833631983928,0.5836205241790021
Ridge Regression_LG,106.7464837118455,0.5901168678706377
Lasso Regression_LG,108.8285779106246,0.582122081888856
Elastic Net Regression_LG,109.53252202474475,0.5794190905742336
Robust Regression_LG,98.12408392662351,0.6232249957222171
Quantile Regression_LG,156.84003214383984,0.39776860667445846
Logistic Regression_LG,15338.23044117647,-57.895447568299595
Simple Linear Regression_L/G,194.4408495318054,0.25338969820186696
Multiple Linear Regression_L/G,194.4408495318054,0.25338969820186696
Polynomial Regression_L/G,181.07915614428435,0.3046956761206654
Ridge Regression_L/G,194.44793978682605,0.2533624731745462
Lasso Regression_L/G,194.9353145863022,0.2514910606241386
Elastic Net Regression_L/G,194.97376758014067,0.25134340954462575
Robust Regression_L/G,213.08338098484433,0.18180645801365836
Quantile Regression_L/G,252.92663739113885,0.0288170745494698
Logistic Regression_L/G,15289.959852941176,-57.710099075238055
Simple Linear Regression_LB,84.94097999740175,0.6738452292119006
Multiple Linear Regression_LB,84.94097999740175,0.6738452292119006
Polynomial Regression_LB,79.91897612059428,0.6931286248518755
Ridge Regression_LB,89.45602499838792,0.6565084446888161
Lasso Regression_LB,94.05038952140688,0.6388670905630682
Elastic Net Regression_LB,95.11746691731783,0.6347697469312059
Robust Regression_LB,89.64287983411366,0.65579096301956
Quantile Regression_LB,150.51687402826317,0.42204814978669825
Logistic Regression_LB,15337.289264705883,-57.89183365666301
Simple Linear Regression_L/B,96.76950749737485,0.6284262727125471
Multiple Linear Regression_L/B,96.76950749737485,0.6284262727125471
Polynomial Regression_L/B,84.43033328192894,0.6758060008258358
Ridge Regression_L/B,96.60112414445334,0.6290728279309861
Lasso Regression_L/B,96.48794393666837,0.6295074151553033
Elastic Net Regression_L/B,104.26553664668357,0.5996431615559712
Robust Regression_L/B,102.83047269402203,0.6051534930186044
Quantile Regression_L/B,203.65191801524432,0.21802121140054442
Logistic Regression_L/B,15336.918676470588,-57.890410678956094
Simple Linear Regression_a,204.39191567117481,0.21517978237699031
Multiple Linear Regression_a,204.39191567117481,0.21517978237699031
Polynomial Regression_a,188.5678030195367,0.2759409112805886
Ridge Regression_a,201.22900352733993,0.22732467269173506
Lasso Regression_a,200.15348511192025,0.23145442799088878
Elastic Net Regression_a,194.31799803589342,0.2538614210556811
Robust Regression_a,199.59891300957938,0.23358386347573945
Quantile Regression_a,232.6115603048899,0.10682252387217328
Logistic Regression_a,15330.086323529413,-57.86417593916924
Simple Linear Regression_aL,94.6773341834215,0.6364597602904194
Multiple Linear Regression_aL,94.6773341834215,0.6364597602904194
Polynomial Regression_aL,110.09725565502308,0.5772506370463205
Ridge Regression_aL,93.136494216614,0.6423762484944715
Lasso Regression_aL,92.50510077529124,0.6448006611058874
Elastic Net Regression_aL,92.79048343028039,0.6437048541770325
Robust Regression_aL,92.60314905727138,0.6444241771644921
Quantile Regression_aL,160.0061582916202,0.385611375288064
Logistic Regression_aL,15337.695147058825,-57.89339215605629
Simple Linear Regression_a/L,128.72399673459483,0.505728028435932
Multiple Linear Regression_a/L,128.72399673459483,0.505728028435932
Polynomial Regression_a/L,182.83143574068504,0.2979673060201766
Ridge Regression_a/L,128.86091065840697,0.5052023089370516
Lasso Regression_a/L,129.1924663737581,0.5039292075630488
Elastic Net Regression_a/L,130.82970024980506,0.4976425878468065
Robust Regression_a/L,132.7294639584935,0.49034791103735864
Quantile Regression_a/L,176.94532167288148,0.32056869565184554
Logistic Regression_a/L,15355.915735294117,-57.96335522664587
Simple Linear Regression_ab,102.41405653648002,0.6067524399158469
Multiple Linear Regression_ab,102.41405653648002,0.6067524399158469
Polynomial Regression_ab,110.90619208615892,0.5741444982157192
Ridge Regression_ab,104.24062673500302,0.5997388101643906
Lasso Regression_ab,102.65821962878712,0.6058149070853007
Elastic Net Regression_ab,115.24094177899781,0.5575000082117789
Robust Regression_ab,99.25186897635074,0.6188945479877634
Quantile Regression_ab,209.22931968826092,0.1966052097919977
Logistic Regression_ab,15341.58926470588,-57.908344715452664
Simple Linear Regression_a/b,140.16372232859158,0.46180198615218526
Multiple Linear Regression_a/b,140.16372232859158,0.46180198615218526
Polynomial Regression_a/b,99.44722042301613,0.6181444411922894
Ridge Regression_a/b,140.1259061412985,0.46194719203395207
Lasso Regression_a/b,140.01556024422902,0.46237089612551296
Elastic Net Regression_a/b,141.61864065316323,0.45621541824726364
Robust Regression_a/b,149.527218774896,0.4258482093378252
Quantile Regression_a/b,215.41889926854802,0.1728385790167819
Logistic Regression_a/b,15331.0775,-57.86798183986152
Simple Linear Regression_aH,174.067146000737,0.3316202602401619
Multiple Linear Regression_aH,174.067146000737,0.3316202602401619
Polynomial Regression_aH,164.33897411577885,0.36897431091655875
Ridge Regression_aH,170.74318387300232,0.3443835472414749
Lasso Regression_aH,170.5807705660488,0.3450071787901571
Elastic Net Regression_aH,170.19262959024394,0.34649755517857384
Robust Regression_aH,170.02946219296223,0.34712408226905633
Quantile Regression_aH,232.6115603048899,0.10682252387217328
Logistic Regression_aH,15329.227499999999,-57.86087824480085
Simple Linear Regression_a/H,212.32814274875702,0.18470640752906298
Multiple Linear Regression_a/H,212.32814274875702,0.18470640752906298
Polynomial Regression_a/H,219.71078775907853,0.15635866664798326
Ridge Regression_a/H,212.3427510158803,0.1846503149808565
Lasso Regression_a/H,212.41759508224723,0.18436293014833516
Elastic Net Regression_a/H,212.70910624781172,0.18324359108031685
Robust Regression_a/H,228.5696158946849,0.12234270568181316
Quantile Regression_a/H,276.3323459148068,-0.06105572299658513
Logistic Regression_a/H,15343.948088235295,-57.91740208149187
Simple Linear Regression_aS,136.7186530587481,0.475030298070523
Multiple Linear Regression_aS,136.7186530587481,0.475030298070523
Polynomial Regression_aS,139.94601048221799,0.4626379519881575
Ridge Regression_aS,134.85763247880573,0.48217620974591935
Lasso Regression_aS,133.11260190985362,0.48887674516771706
Elastic Net Regression_aS,131.07156283271874,0.4967138884687814
Robust Regression_aS,132.2816362094131,0.49206747157054687
Quantile Regression_aS,221.71405815197352,0.14866654682735914
Logistic Regression_aS,15342.253970588234,-57.910897040546004
Simple Linear Regression_a/S,181.89379820738702,0.30156762891219513
Multiple Linear Regression_a/S,181.89379820738702,0.30156762891219513
Polynomial Regression_a/S,165.10471492996945,0.36603403380010613
Ridge Regression_a/S,181.8763376707182,0.30163467355113427
Lasso Regression_a/S,181.84326692899918,0.30176165796060883
Elastic Net Regression_a/S,182.22362729153198,0.30030115742408847
Robust Regression_a/S,192.86206177257785,0.2594518976225668
Quantile Regression_a/S,253.5627929017107,0.02637437663448816
Logistic Regression_a/S,15321.78338235294,-57.8322944624502
Simple Linear Regression_aV,95.18290996306389,0.6345184599601157
Multiple Linear Regression_aV,95.18290996306389,0.6345184599601157
Polynomial Regression_aV,112.51650688028717,0.5679612418818313
Ridge Regression_aV,93.6444674357636,0.6404257425212263
Lasso Regression_aV,93.0692587425079,0.6426344179981265
Elastic Net Regression_aV,93.80044129203321,0.6398268370536639
Robust Regression_aV,92.97198162924767,0.6430079408204354
Quantile Regression_aV,161.67848183514255,0.37919001892935755
Logistic Regression_aV,15337.695147058825,-57.89339215605629
Simple Linear Regression_a/V,130.62304650223527,0.4984360930038366
Multiple Linear Regression_a/V,130.62304650223527,0.4984360930038366
Polynomial Regression_a/V,179.09044486637706,0.312331892126525
Ridge Regression_a/V,130.75670481393018,0.49792287434287796
Lasso Regression_a/V,131.09116026822744,0.49663863860603474
Elastic Net Regression_a/V,132.68862511429379,0.49050472326002925
Robust Regression_a/V,135.1383054626778,0.4810984869232723
Quantile Regression_a/V,177.36700008916102,0.31894954283288646
Logistic Regression_a/V,15355.915735294117,-57.96335522664587
Simple Linear Regression_aR,97.47645207495766,0.6257117602749879
Multiple Linear Regression_aR,97.47645207495766,0.6257117602749879
Polynomial Regression_aR,112.07804171040166,0.5696448521602498
Ridge Regression_aR,95.82904796241318,0.632037431473257
Lasso Regression_aR,95.32003441837686,0.6339919320663545
Elastic Net Regression_aR,96.3665986341656,0.629973354556111
Robust Regression_aR,95.05701238650852,0.6350018790968557
Quantile Regression_aR,172.34268144998845,0.33824182665367397
Logistic Regression_aR,15337.695147058825,-57.89339215605629
Simple Linear Regression_a/R,126.67096722610677,0.5136112123688537
Multiple Linear Regression_a/R,126.67096722610677,0.5136112123688537
Polynomial Regression_a/R,174.91116440595667,0.3283794143080361
Ridge Regression_a/R,126.79822828091716,0.5131225577740608
Lasso Regression_a/R,127.10345388370524,0.5119505582690038
Elastic Net Regression_a/R,128.62739319014918,0.5060989649014279
Robust Regression_a/R,133.16165122762754,0.4886884065236803
Quantile Regression_a/R,173.76176404298766,0.3327928601140461
Logistic Regression_a/R,15338.409852941177,-57.89613647020532
Simple Linear Regression_aG,94.52989242743438,0.6370259043604554
Multiple Linear Regression_aG,94.52989242743438,0.6370259043604554
Polynomial Regression_aG,111.4766106643794,0.5719542157320645
Ridge Regression_aG,93.02697174371932,0.6427967908174373
Lasso Regression_aG,92.36740213072045,0.6453293937607165
Elastic Net Regression_aG,92.5951813851098,0.6444547712815798
Robust Regression_aG,92.6794417362988,0.6441312299764357
Quantile Regression_aG,158.44054899056297,0.39162297231397136
Logistic Regression_aG,15341.08044117647,-57.90639094447414
Simple Linear Regression_a/G,134.76804628588604,0.48252020111755634
Multiple Linear Regression_a/G,134.76804628588604,0.48252020111755634
Polynomial Regression_a/G,186.18587241932067,0.2850870034138603
Ridge Regression_a/G,134.90808239158991,0.48198249312361396
Lasso Regression_a/G,135.24100102537477,0.48070415844114966
Elastic Net Regression_a/G,136.92529146898528,0.47423685180549313
Robust Regression_a/G,138.51270958604078,0.4681415136997995
Quantile Regression_a/G,181.8786540238141,0.3016257792622634
Logistic Regression_a/G,15359.621617647057,-57.97758500371493
Simple Linear Regression_aB,112.20358303753191,0.5691628009433243
Multiple Linear Regression_aB,112.20358303753191,0.5691628009433243
Polynomial Regression_aB,135.53193889888288,0.47958702068914216
Ridge Regression_aB,113.8432369167774,0.5628668889445048
Lasso Regression_aB,116.52798112073319,0.5525580588545687
Elastic Net Regression_aB,122.79778731609052,0.528483375437976
Robust Regression_aB,120.77458655181029,0.5362520235222377
Quantile Regression_aB,169.96798441816674,0.3473601434676391
Logistic Regression_aB,15341.548088235297,-57.908186606818575
Simple Linear Regression_a/B,181.24360419628957,0.3040642315963621
Multiple Linear Regression_a/B,181.24360419628957,0.3040642315963621
Polynomial Regression_a/B,178.89795197520138,0.3130710226946166
Ridge Regression_a/B,181.3331248194935,0.30372049199808127
Lasso Regression_a/B,181.36558668027328,0.3035958455581379
Elastic Net Regression_a/B,182.6276568825526,0.2987497722310407
Robust Regression_a/B,191.981000854999,0.2628349786940598
Quantile Regression_a/B,249.83108854663607,0.04070330453967064
Logistic Regression_a/B,15369.892205882354,-58.017021814449215
Simple Linear Regression_b,103.45081496993214,0.6027715144634264
Multiple Linear Regression_b,103.45081496993214,0.6027715144634264
Polynomial Regression_b,97.39402257243988,0.6260282715219818
Ridge Regression_b,100.39333281664267,0.6145115766916387
Lasso Regression_b,100.8282742730854,0.6128414967015483
Elastic Net Regression_b,141.9494601700643,0.4549451437141655
Robust Regression_b,103.87098632425347,0.6011581484325119
Quantile Regression_b,234.4938662527446,0.09959488104306524
Logistic Regression_b,15338.53044117647,-57.896599502633755
Simple Linear Regression_bL,98.05822683199465,0.6234778725503878
Multiple Linear Regression_bL,98.05822683199465,0.6234778725503878
Polynomial Regression_bL,86.19550159332087,0.6690281408809415
Ridge Regression_bL,92.56391461467415,0.6445748288361904
Lasso Regression_bL,91.84631772068079,0.6473302438371218
Elastic Net Regression_bL,91.93731672449611,0.6469808275808901
Robust Regression_bL,101.66510716410684,0.6096282415711345
Quantile Regression_bL,157.95521948615283,0.393486531379012
Logistic Regression_bL,15337.289264705883,-57.89183365666301
Simple Linear Regression_b/L,120.51788188908404,0.5372377132380177
Multiple Linear Regression_b/L,120.51788188908404,0.5372377132380177
Polynomial Regression_b/L,117.91528109598738,0.5472311306103076
Ridge Regression_b/L,120.61196870943083,0.5368764404421855
Lasso Regression_b/L,120.92505784701729,0.5356742466847215
Elastic Net Regression_b/L,122.08634723227554,0.5312151496354627
Robust Regression_b/L,126.84658094420247,0.5129368941307723
Quantile Regression_b/L,180.0849317382218,0.3085132802180185
Logistic Regression_b/L,15330.689264705883,-57.866491101311425
Simple Linear Regression_ba,102.41405653647969,0.6067524399158483
Multiple Linear Regression_ba,102.41405653647969,0.6067524399158483
Polynomial Regression_ba,110.9061920861586,0.5741444982157204
Ridge Regression_ba,104.2406267350032,0.5997388101643899
Lasso Regression_ba,102.65751049287366,0.6058176300119884
Elastic Net Regression_ba,115.24111279607115,0.5574993515436506
Robust Regression_ba,99.25186897635064,0.6188945479877639
Quantile Regression_ba,209.22931968826083,0.19660520979199814
Logistic Regression_ba,15341.58926470588,-57.908344715452664
Simple Linear Regression_b/a,200.87919446994468,0.22866786290378394
Multiple Linear Regression_b/a,200.87919446994468,0.22866786290378394
